Replication Factor	Partition	Message Size	Acks	Batch Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	5	1000	-1	500000	232446.4824	221.68	123.19667	521	110.33333	469.66667	511.33333	517.66667
2	1	100	-1	16384	284624.5802	27.14	1008.77	3274	709	2347	3096	3253
2	1	100	-1	16384	427350.4274	40.76	655.33	1091	621	894	1027	1085
2	1	100	-1	16384	422582.8262	40.3	656.62	1548	593	1331	1454	1535
2	1	100	-1	16384	378185.9446	36.06667	773.57333	1971	641	1524	1859	1957.66667
2	1	100	-1	50000	750750.7508	71.6	125.03	1256	4	1226	1247	1254
2	1	100	-1	50000	866100.8141	82.6	111.54	212	118	180	207	211
2	1	100	-1	50000	433050.4071	41.3	429.74	6119	51	6103	6117	6118
2	1	100	-1	50000	683300.6573	65.16667	222.10333	2529	57.66667	2503	2523.66667	2527.66667
2	1	100	-1	100000	1247504.99	118.97	6.9	270	4	32	44	123
2	1	100	-1	100000	967117.9884	92.23	69.15	914	4	799	857	908
2	1	100	-1	100000	632991.5179	60.37	315.51	1335	242	1095	1300	1331
2	1	100	-1	100000	949204.8321	90.52333	130.52	839.66667	83.33333	642	733.66667	787.33333
2	1	100	-1	200000	444523.4708	42.39	566.47	1725	646	1284	1668	1720
2	1	100	-1	200000	446548.1825	42.59	554	881	721	747	851	872
2	1	100	-1	200000	390502.9678	37.24	679.55	1784	723	1732	1757	1768
2	1	100	-1	200000	427191.5404	40.74	600.00667	1463.33333	696.66667	1254.33333	1425.33333	1453.33333
2	1	100	-1	500000	431816.219	41.18	585.36	1461	694	1059	1381	1452
2	1	100	-1	500000	384970.7422	36.71	686.59	2060	689	2012	2030	2045
2	1	100	-1	500000	417571.4047	39.82	643.45	1334	686	1247	1313	1330
2	1	100	-1	500000	411452.7887	39.23667	638.46667	1618.33333	689.66667	1439.33333	1574.66667	1609
2	1	500	-1	16384	68643.60242	32.73	915.21	5161	592	4480	5027	5154
2	1	500	-1	16384	105663.5672	50.38	583	1759	487	1715	1750	1757
2	1	500	-1	16384	89031.33903	42.45	697.49	1961	538	1914	1949	1960
2	1	500	-1	16384	87779.50288	41.85333	731.9	2960.33333	539	2703	2908.66667	2957
2	1	500	-1	50000	102616.7265	48.93	584.72	1385	589	1078	1341	1377
2	1	500	-1	50000	71859.72981	34.27	865.12	2280	806	2006	2234	2270
2	1	500	-1	50000	86125.22608	41.07	711.69	1068	803	888	1006	1064
2	1	500	-1	50000	86867.22747	41.42333	720.51	1577.66667	732.66667	1324	1527	1570.33333
2	1	500	-1	100000	82000.82001	39.1	727.63	1725	810	957	1679	1722
2	1	500	-1	100000	87650.1008	41.79	698.07	1402	694	1151	1341	1395
2	1	500	-1	100000	84559.44529	40.32	722.38	1269	805	861	1184	1259
2	1	500	-1	100000	84736.7887	40.40333	716.02667	1465.33333	769.66667	989.66667	1401.33333	1458.66667
2	1	500	-1	200000	76905.32954	36.67	806.13	5486	451	5382	5476	5483
2	1	500	-1	200000	94993.8254	45.3	632.45	854	625	832	841	845
2	1	500	-1	200000	79821.20051	38.06	772.81	4239	619	4077	4201	4237
2	1	500	-1	200000	83906.78515	40.01	737.13	3526.33333	565	3430.33333	3506	3521.66667
2	1	500	-1	500000	92208.39096	43.97	659.97	1036	628	841	954	1014
2	1	500	-1	500000	84203.4355	40.15	726.68	2108	629	2034	2081	2092
2	1	500	-1	500000	80070.46201	38.18	774.13	1992	821	1827	1949	1982
2	1	500	-1	500000	85494.09616	40.76667	720.26	1712	692.66667	1567.33333	1661.33333	1696
2	1	1000	-1	16384	43952.18003	41.92	710.85	2495	584	2323	2486	2494
2	1	1000	-1	16384	47041.11393	44.86	653.38	1050	645	940	960	1022
2	1	1000	-1	16384	31450.49692	29.99	1008.25	5709	569	5562	5696	5708
2	1	1000	-1	16384	40814.59696	38.92333	790.82667	3084.66667	599.33333	2941.66667	3047.33333	3074.66667
2	1	1000	-1	50000	57991.18534	55.3	523.35	1039	575	834	1019	1037
2	1	1000	-1	50000	30858.483	29.43	1039.5	8363	591	7504	8301	8358
2	1	1000	-1	50000	61177.04637	58.34	490.63	848	538	709	806	844
2	1	1000	-1	50000	50008.9049	47.69	684.49333	3416.66667	568	3015.66667	3375.33333	3413
2	1	1000	-1	100000	39799.41097	37.96	798.49	3128	591	2986	3109	3123
2	1	1000	-1	100000	46163.78912	44.03	672.54	958	754	823	929	952
2	1	1000	-1	100000	33469.4424	31.92	952.93	4473	795	4208	4445	4465
2	1	1000	-1	100000	39810.88083	37.97	807.98667	2853	713.33333	2672.33333	2827.66667	2846.66667
2	1	1000	-1	200000	51915.68892	49.51	588.95	841	611	815	823	828
2	1	1000	-1	200000	43610.98997	41.59	714.6	1098	805	842	1037	1095
2	1	1000	-1	200000	39996.80026	38.14	783.98	2381	643	1907	2294	2368
2	1	1000	-1	200000	45174.49305	43.08	695.84333	1440	686.33333	1188	1384.66667	1430.33333
2	1	1000	-1	500000	38538.61569	36.75	768.81	2956	646	1100	2847	2929
2	1	1000	-1	500000	47773.74355	45.56	651.94	1731	623	1570	1693	1723
2	1	1000	-1	500000	39224.91567	37.41	803.45	2403	819	2220	2349	2386
2	1	1000	-1	500000	41845.7583	39.90667	741.4	2363.33333	696	1630	2296.33333	2346
2	2	100	-1	16384	92587.44885	8.83	266.75	47706	3	553	770	791
2	2	100	-1	16384	421017.1775	40.15	657.86	1844	1071	1758	1812	1841
2	2	100	-1	16384	549571.3344	52.41	494.58	938	709	877	920	936
2	2	100	-1	16384	354391.9869	33.79667	473.06333	16829.33333	594.33333	1062.66667	1167.33333	1189.33333
2	2	100	-1	50000	725584.0952	69.2	169.99	1932	129	599	679	689
2	2	100	-1	50000	1112099.644	106.06	5.98	142	3	12	22	32
2	2	100	-1	50000	1100836.636	104.98	33.18	385	3	152	243	254
