Replication Factor	Partition	Message Size	Acks	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
5	2	20	-1	648424.3289	12.37	1439.7	3057	1713	2514	2766	2860
5	2	20	-1	835645.2853	15.94	461.81	1277	549	1072	1220	1266
5	2	20	-1	739710.6252	14.11	948.17	3350	752	1812	3190	3308
5	2	20	-1	741260.0798	14.14	949.89333	2561.33333	1004.66667	1799.33333	2392	2478
5	2	50	-1	373733.9762	17.82	1417.02	2713	1322	2337	2477	2494
5	2	50	-1	375685.6263	17.91	1379.35	3128	2451	2994	3083	3114
5	2	50	-1	424646.4818	20.25	1233.24	2710	933	1622	1665	1679
5	2	50	-1	391355.3614	18.66	1343.20333	2850.33333	1568.66667	2317.66667	2408.33333	2429
5	2	100	-1	161118.809	15.37	1780.71	2809	1947	2089	2659	2803
5	2	100	-1	179327.1645	17.1	1598.58	2114	1674	1823	1968	2010
5	2	100	-1	199728.3694	19.05	1399.01	2428	1543	2196	2346	2421
5	2	100	-1	180058.1143	17.17333	1592.76667	2450.33333	1721.33333	2036	2324.33333	2411.33333
5	2	200	-1	106869.5764	20.38	1380.42	2964	1306	2582	2785	2929
5	2	200	-1	98537.70052	18.79	1528.64	2619	1686	2019	2492	2582
5	2	200	-1	93562.87425	17.85	1590.48	3117	1686	2430	2978	3086
5	2	200	-1	99656.71705	19.00667	1499.84667	2900	1559.33333	2343.66667	2751.66667	2865.66667
5	2	500	-1	47165.36176	22.49	1332.5	1932	1433	1775	1856	1871
5	2	500	-1	44111.16012	21.03	1377.09	2922	712	1550	1628	1641
5	2	500	-1	36980.88089	17.63	1653.67	2920	1411	2165	2813	2879
5	2	500	-1	42752.46759	20.38333	1454.42	2591.33333	1185.33333	1830	2099	2130.33333
5	2	1000	-1	17102.20276	16.31	1793.07	3200	1772	2674	3120	3169
5	2	1000	-1	18872.19748	18	1567.93	4110	1363	3281	3777	4107
5	2	1000	-1	24037.3059	22.92	1234.93	3254	1163	2482	3170	3228
5	2	1000	-1	20003.90205	19.07667	1531.97667	3521.33333	1432.66667	2812.33333	3355.66667	3501.33333
5	5	10	-1	774749.3686	7.39	121.89	12530	12	185	614	756
5	5	10	-1	1172635.381	11.18	18.28	371	11	65	185	272
5	5	10	-1	1182816.048	11.28	34.99	609	12	216	364	512
