Replication Factor	Partition	Message Size	Acks	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
2	1	1000	-1	200000000	50689.37551	48.34	2927.86	3929	3348	3864	3914	3926
2	1	1000	-1	200000000	47943.23521	45.72	3000.66	4485	3147	4469	4481	4484
2	1	1000	-1	200000000	57025.54745	54.38	2671.22	3524	3178	3496	3521	3523
2	1	1000	-1	200000000	51886.05272	49.48	2866.58	3979.33333	3224.33333	3943	3972	3977.66667
2	2	100	-1	10000000	372467.2229	35.52	233.1	1134	2	312	624	710
2	2	100	-1	10000000	569476.082	54.31	151.2	1134	215	381	1039	1076
2	2	100	-1	10000000	641601.4372	61.19	129.24	279	58	169	209	223
2	2	100	-1	10000000	527848.2474	50.34	171.18	849	91.66667	287.33333	624	669.66667
2	2	100	-1	33554432	499051.8016	47.59	535.54	2053	462	1902	2049	2053
2	2	100	-1	33554432	626095.6674	59.71	428.18	720	333	588	643	661
2	2	100	-1	33554432	624219.7253	59.53	418.18	769	317	544	606	615
2	2	100	-1	33554432	583122.3981	55.61	460.63333	1180.66667	370.66667	1011.33333	1099.33333	1109.66667
2	2	100	-1	100000000	595379.8523	56.78	1209.67	1699	1265	1666	1695	1698
2	2	100	-1	100000000	542181.7393	51.71	1258.45	2088	1614	2036	2080	2088
2	2	100	-1	100000000	588720.1225	56.14	1142.32	1999	1153	1773	1789	1802
2	2	100	-1	100000000	575427.238	54.87667	1203.48	1928.66667	1344	1825	1854.66667	1862.66667
2	2	100	-1	200000000	486192.1431	46.37	1973.22	3892	2138	3342	3354	3813
2	2	100	-1	200000000	473529.6903	45.16	1965.66	3608	2360	3404	3596	3607
2	2	100	-1	200000000	480445.8538	45.82	1776.42	3434	2235	3383	3422	3433
2	2	100	-1	200000000	480055.8957	45.78333	1905.1	3644.66667	2244.33333	3376.33333	3457.33333	3617.66667
2	2	500	-1	10000000	161550.8885	77.03	114.59	336	136	199	320	334
2	2	500	-1	10000000	147841.5139	70.5	123.8	525	148	399	495	524
2	2	500	-1	10000000	120163.4223	57.3	155.92	2636	148	189	2629	2635
2	2	500	-1	10000000	143185.2749	68.27667	131.43667	1165.66667	144	262.33333	1148	1164.33333
2	2	500	-1	33554432	108213.3968	51.6	563.22	2878	396	2199	2239	2245
2	2	500	-1	33554432	163398.6928	77.91	366.15	559	283	475	495	502
2	2	500	-1	33554432	131027.2537	62.48	464.08	1208	458	1062	1086	1100
2	2	500	-1	33554432	134213.1144	63.99667	464.48333	1548.33333	379	1245.33333	1273.33333	1282.33333
2	2	500	-1	100000000	144969.5564	69.13	1165.26	1857	1107	1817	1848	1856
2	2	500	-1	100000000	117827.2652	56.18	1297.67	2025	1649	2001	2018	2021
2	2	500	-1	100000000	100522.7181	47.93	1608.75	2445	1702	2423	2436	2440
2	2	500	-1	100000000	121106.5133	57.74667	1357.22667	2109	1486	2080.33333	2100.66667	2105.66667
2	2	500	-1	200000000	88292.42451	42.1	3262.59	5190	3461	4044	4159	4171
2	2	500	-1	200000000	102912.4215	49.07	2635.53	4171	3206	4027	4090	4104
2	2	500	-1	200000000	105752.9611	50.43	2591.26	3956	3178	3800	3863	3878
2	2	500	-1	200000000	98985.93571	47.2	2829.79333	4439	3281.66667	3957	4037.33333	4051
2	2	1000	-1	10000000	38898.39739	37.1	244.57	1713	147	580	1559	1712
2	2	1000	-1	10000000	77772.59294	74.17	119.74	430	135	300	411	426
2	2	1000	-1	10000000	72306.5799	68.96	127.94	757	114	264	743	755
2	2	1000	-1	10000000	62992.52341	60.07667	164.08333	966.66667	132	381.33333	904.33333	964.33333
2	2	1000	-1	33554432	51926.47212	49.52	581.09	1025	472	997	1010	1018
2	2	1000	-1	33554432	50869.87486	48.51	600.66	2942	437	2675	2906	2939
2	2	1000	-1	33554432	43470.70075	41.46	577.81	3888	466	1330	3717	3874
2	2	1000	-1	33554432	48755.68257	46.49667	586.52	2618.33333	458.33333	1667.33333	2544.33333	2610.33333
2	2	1000	-1	100000000	64474.53256	61.49	1245.48	1872	1307	1735	1775	1867
2	2	1000	-1	100000000	50576.57293	48.23	1565.26	3022	1583	2592	2922	3021
2	2	1000	-1	100000000	43986.97985	41.95	1806.55	5161	1428	4299	5109	5158
2	2	1000	-1	100000000	53012.69512	50.55667	1539.09667	3351.66667	1439.33333	2875.33333	3268.66667	3348.66667
2	2	1000	-1	200000000	68315.34363	65.15	2309.64	3902	2195	3667	3816	3894
2	2	1000	-1	200000000	55890.90096	53.3	2314.01	4359	2419	3911	4283	4357
2	2	1000	-1	200000000	42709.49005	40.73	3129.29	5773	3493	5641	5738	5765
2	2	1000	-1	200000000	55638.57821	53.06	2584.31333	4678	2702.33333	4406.33333	4612.33333	4672
2	5	100	-1	10000000	145908.7195	13.91	133.16	27259	169	407	864	901
2	5	100	-1	10000000	834585.2112	79.59	94.39	247	148	201	243	246
2	5	100	-1	10000000	671501.4773	64.04	120.58	1262	151	247	1258	1262
2	5	100	-1	10000000	550665.136	52.51333	116.04333	9589.33333	156	285	788.33333	803
2	5	100	-1	33554432	720149.7912	68.68	310.75	774	141	268	280	291
2	5	100	-1	33554432	669971.8612	63.89	324.92	921	148	212	226	233
2	5	100	-1	33554432	680549.8843	64.9	373.39	796	231	441	488	494
2	5	100	-1	33554432	690223.8456	65.82333	336.35333	830.33333	173.33333	307	331.33333	339.33333
2	5	100	-1	100000000	586097.7611	55.89	724.94	1848	854	1656	1810	1847
2	5	100	-1	100000000	659804.6978	62.92	736.73	1186	976	1150	1167	1174
2	5	100	-1	100000000	603209.0723	57.53	692.52	2210	723	2124	2185	2209
2	5	100	-1	100000000	616370.5104	58.78	718.06333	1748	851	1643.33333	1720.66667	1743.33333
2	5	100	-1	200000000	412371.134	39.33	918.67	6136	408	999	1075	1081
2	5	100	-1	200000000	725058.0046	69.15	343.42	1110	374	1080	1106	1109
2	5	100	-1	200000000	789141.4141	75.26	225.5	401	124	255	275	284
2	5	100	-1	200000000	642190.1843	61.24667	495.86333	2549	302	778	818.66667	824.66667
2	5	500	-1	10000000	199322.3042	95.04	91.32	206	117	194	203	205
2	5	500	-1	10000000	167926.1125	80.07	107.9	623	120	209	615	621
2	5	500	-1	10000000	133868.8086	63.83	135.22	545	140	287	477	539
2	5	500	-1	10000000	167039.0751	79.64667	111.48	458	125.66667	230	431.66667	455
2	5	500	-1	33554432	99453.00845	47.42	596.24	1613	480	1404	1529	1596
2	5	500	-1	33554432	112082.4927	53.45	551.43	1390	461	1253	1354	1381
2	5	500	-1	33554432	111632.0607	53.23	529.63	1588	531	1360	1492	1576
2	5	500	-1	33554432	107722.5206	51.36667	559.1	1530.33333	490.66667	1339	1458.33333	1517.66667
2	5	500	-1	100000000	164527.8052	78.45	954.26	1697	984	1520	1687	1694
2	5	500	-1	100000000	156054.9313	74.41	946.66	1629	1023	1511	1548	1616
2	5	500	-1	100000000	93641.72675	44.65	1849.62	7430	707	7176	7419	7428
2	5	500	-1	100000000	138074.8211	65.83667	1250.18	3585.33333	904.66667	3402.33333	3551.33333	3579.33333
2	5	500	-1	200000000	142429.8533	67.92	1658.67	3153	1789	2697	3076	3147
2	5	500	-1	200000000	83402.8357	39.77	2984.01	6445	2539	6314	6434	6440
2	5	500	-1	200000000	89678.05578	42.76	2993.38	5831	3266	5637	5813	5829
