Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	100	-1	5	1048576	1028466.969	98.08	147.48	1926.33333	0.66667	1832	1870.66667	1883.66667
1	2	100	-1	5	5000000	1304121.022	124.37	0.58	145	0	1	6	11
1	2	100	-1	5	5000000	1431434.297	136.51	0.72	135	1	2	8	11
1	2	100	-1	5	5000000	651041.6667	62.09	257.47	3334	1	3158	3304	3330
1	2	100	-1	5	5000000	1128865.662	107.65667	86.25667	1204.66667	0.66667	1053.66667	1106	1117.33333
1	2	100	-1	5	10000000	1386962.552	132.27	0.6	134	1	1	2	34
1	2	100	-1	5	10000000	586235.1976	55.91	351.86	1273	327	933	1183	1261
1	2	100	-1	5	10000000	688705.2342	65.68	305.97	465	401	441	455	463
1	2	100	-1	5	10000000	887300.9946	84.62	219.47667	624	243	458.33333	546.66667	586
1	2	500	-1	0	1048576	127323.6567	60.71	481.95	3212	270	3146	3205	3211
1	2	500	-1	0	1048576	212720.6977	101.43	265.99	609	266	556	596	606
1	2	500	-1	0	1048576	213447.1718	101.78	272.18	387	284	348	375	384
1	2	500	-1	0	1048576	184497.1754	87.97333	340.04	1402.66667	273.33333	1350	1392	1400.33333
1	2	500	-1	0	5000000	202347.2278	96.49	285.86	411	314	379	394	408
1	2	500	-1	0	5000000	98648.51534	47.04	632.26	5525	246	5401	5520	5524
1	2	500	-1	0	5000000	318369.9459	151.81	169.83	320	167	248	297	317
1	2	500	-1	0	5000000	206455.2297	98.44667	362.65	2085.33333	242.33333	2009.33333	2070.33333	2083
1	2	500	-1	0	10000000	263227.165	125.52	217.62	421	226	353	400	419
1	2	500	-1	0	10000000	228937.7289	109.17	258.13	558	268	431	527	557
1	2	500	-1	0	10000000	118343.1953	56.43	495.07	3747	284	3666	3736	3746
1	2	500	-1	0	10000000	203502.6964	97.04	323.60667	1575.33333	259.33333	1483.33333	1554.33333	1574
1	2	500	-1	2	1048576	273822.563	130.57	214.35	475	214	389	443	471
1	2	500	-1	2	1048576	233535.731	111.36	247.41	898	175	839	883	885
1	2	500	-1	2	1048576	209819.5552	100.05	274.8	368	294	346	362	367
1	2	500	-1	2	1048576	239059.283	113.99333	245.52	580.33333	227.66667	524.66667	562.66667	574.33333
1	2	500	-1	2	5000000	122639.1955	58.48	403.95	3086	316	1027	3044	3086
1	2	500	-1	2	5000000	220604.4562	105.19	255.98	549	249	487	546	548
1	2	500	-1	2	5000000	215517.2414	102.77	269.22	683	270	597	655	683
1	2	500	-1	2	5000000	186253.631	88.81333	309.71667	1439.33333	278.33333	703.66667	1415	1439
1	2	500	-1	2	10000000	196850.3937	93.87	296.07	1177	239	1058	1148	1174
1	2	500	-1	2	10000000	181455.2713	86.52	321.35	717	327	592	691	713
1	2	500	-1	2	10000000	157109.1909	74.92	380.71	1888	299	1806	1866	1871
1	2	500	-1	2	10000000	178471.6186	85.10333	332.71	1260.66667	288.33333	1152	1235	1252.66667
1	2	500	-1	5	1048576	195388.8238	93.17	291.1	1023	294	892	998	1021
1	2	500	-1	5	1048576	201897.8397	96.27	286.65	398	308	371	385	395
1	2	500	-1	5	1048576	175008.7504	83.45	340.52	1365	285	1304	1358	1364
1	2	500	-1	5	1048576	190765.138	90.96333	306.09	928.66667	295.66667	855.66667	913.66667	926.66667
1	2	500	-1	5	5000000	139684.3135	66.61	436.34	3166	265	3109	3140	3153
1	2	500	-1	5	5000000	225835.5917	107.69	256.48	409	266	345	392	404
1	2	500	-1	5	5000000	195274.3605	93.11	296.8	496	309	404	468	495
1	2	500	-1	5	5000000	186931.4219	89.13667	329.87333	1357	280	1286	1333.33333	1350.66667
1	2	500	-1	5	10000000	187899.286	89.6	311.82	662	339	586	655	661
1	2	500	-1	5	10000000	135869.5652	64.79	448.97	1634	322	1589	1614	1633
1	2	500	-1	5	10000000	216590.8599	103.28	269.19	358	292	337	350	357
1	2	500	-1	5	10000000	180119.9037	85.89	343.32667	884.66667	317.66667	837.33333	873	883.66667
1	2	1000	-1	0	1048576	97106.23422	92.61	305.25	507	307	479	497	502
1	2	1000	-1	0	1048576	95767.09443	91.33	312.23	414	321	389	403	411
1	2	1000	-1	0	1048576	43706.29371	41.68	726.58	7047	322	6922	7036	7046
1	2	1000	-1	0	1048576	78859.87412	75.20667	448.02	2656	316.66667	2596.66667	2645.33333	2653
1	2	1000	-1	0	5000000	178380.3068	170.12	158.25	237	152	219	230	235
1	2	1000	-1	0	5000000	136054.4218	129.75	218.4	825	182	785	817	824
1	2	1000	-1	0	5000000	115233.9249	109.9	255.29	350	264	320	341	348
1	2	1000	-1	0	5000000	143222.8845	136.59	210.64667	470.66667	199.33333	441.33333	462.66667	469
1	2	1000	-1	0	10000000	104405.9303	99.57	283.64	568	286	480	548	564
1	2	1000	-1	0	10000000	83263.94671	79.41	366.46	1492	305	1441	1472	1491
1	2	1000	-1	0	10000000	95840.52137	91.4	308.5	534	319	408	511	533
1	2	1000	-1	0	10000000	94503.46611	90.12667	319.53333	864.66667	303.33333	776.33333	843.66667	862.66667
1	2	1000	-1	2	1048576	97427.90335	92.91	305.17	467	326	403	459	467
