Replication Factor	Partition	Message Size	Acks	Batch Size	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	500	-1	16384	0	192083.9339	91.59333	398.26667	3006	213.66667	2970	2998	3005
1	2	500	-1	16384	2	185873.6059	88.63	309.42	479	332	406	460	475
1	2	500	-1	16384	2	102944.2042	49.09	604.06	3538	340	3436	3499	3537
1	2	500	-1	16384	2	224668.6138	107.13	256.83	374	273	334	362	370
1	2	500	-1	16384	2	171162.1413	81.61667	390.10333	1463.66667	315	1392	1440.33333	1460.66667
1	2	500	-1	16384	5	187511.7195	89.41	303.92	627	317	487	606	623
1	2	500	-1	16384	5	166638.8935	79.46	352.95	495	373	450	471	494
1	2	500	-1	16384	5	100654.2526	48	623.1	2397	345	2357	2391	2397
1	2	500	-1	16384	5	151601.6219	72.29	426.65667	1173	345	1098	1156	1171.33333
1	2	500	-1	200000	0	213766.5669	101.93	252.13	380	281	349	364	374
1	2	500	-1	200000	0	183722.212	87.61	308.22	790	321	627	780	787
1	2	500	-1	200000	0	172057.8114	82.04	333.42	442	356	416	425	439
1	2	500	-1	200000	0	189848.8635	90.52667	297.92333	537.33333	319.33333	464	523	533.33333
1	2	500	-1	200000	2	122219.5062	58.28	421.44	2311	395	463	2288	2302
1	2	500	-1	200000	2	160436.387	76.5	368.34	1431	309	1315	1340	1364
1	2	500	-1	200000	2	183250.8704	87.38	308.28	677	321	516	668	675
1	2	500	-1	200000	2	155302.2546	74.05333	366.02	1473	341.66667	764.66667	1432	1447
1	2	500	-1	200000	5	171291.5382	81.68	335.96	653	354	502	635	651
1	2	500	-1	200000	5	173852.573	82.9	334.19	439	356	409	419	426
1	2	500	-1	200000	5	144948.5433	69.12	409.23	2634	311	2455	2589	2633
1	2	500	-1	200000	5	163364.2182	77.9	359.79333	1242	340.33333	1122	1214.33333	1236.66667
1	2	500	-1	500000	0	177336.4072	84.56	321.49	456	332	404	438	451
1	2	500	-1	500000	0	153397.7604	73.15	342.71	1129	358	421	470	1021
1	2	500	-1	500000	0	164934.8507	78.65	350	491	361	447	462	485
1	2	500	-1	500000	0	165223.0061	78.78667	338.06667	692	350.33333	424	456.66667	652.33333
1	2	500	-1	500000	2	112082.4927	53.45	533.21	4902	228	4747	4861	4871
1	2	500	-1	500000	2	226090.8885	107.81	234.01	551	246	451	518	547
1	2	500	-1	500000	2	190912.562	91.03	296.85	635	297	459	563	591
1	2	500	-1	500000	2	176361.9811	84.09667	354.69	2029.33333	257	1885.66667	1980.66667	2003
1	2	500	-1	500000	5	168378.5149	80.29	339.03	1306	337	1020	1229	1302
1	2	500	-1	500000	5	137193.0306	65.42	433.09	1697	363	1525	1645	1653
1	2	500	-1	500000	5	163826.9987	78.12	357.44	492	357	442	466	485
1	2	500	-1	500000	5	156466.1814	74.61	376.52	1165	352.33333	995.66667	1113.33333	1146.66667
1	2	1000	-1	16384	0	77700.0777	74.1	389.55	552	385	492	532	548
1	2	1000	-1	16384	0	83556.14973	79.69	357.86	577	375	473	557	575
1	2	1000	-1	16384	0	50510.15254	48.17	620.68	4516	388	4347	4459	4490
1	2	1000	-1	16384	0	70588.79332	67.32	456.03	1881.66667	382.66667	1770.66667	1849.33333	1871
1	2	1000	-1	16384	2	107874.8652	102.88	272.27	385	279	353	373	382
1	2	1000	-1	16384	2	92267.94612	87.99	324.7	546	333	453	533	541
1	2	1000	-1	16384	2	89992.80058	85.82	340.14	849	351	611	788	848
1	2	1000	-1	16384	2	96711.87062	92.23	312.37	593.33333	321	472.33333	564.66667	590.33333
