Replication Factor	Partition	Message Size	Acks	Batch Size	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	500	-1	16384	5000000	174947.5157	83.42	338.4	1258	297	1201	1229	1257
1	2	500	-1	16384	5000000	170681.6815	81.38667	353.47333	1335.33333	315	1278.33333	1310	1333.66667
1	2	500	-1	16384	10000000	175223.4098	83.55	310.26	797	322	449	788	795
1	2	500	-1	16384	10000000	181719.0623	86.65	322.07	672	328	528	667	671
1	2	500	-1	16384	10000000	115021.8542	54.85	537.66	3937	333	3857	3916	3935
1	2	500	-1	16384	10000000	157321.4421	75.01667	389.99667	1802	327.66667	1611.33333	1790.33333	1800.33333
1	2	500	-1	200000	1048576	229095.0745	109.24	230.65	346	265	322	330	344
1	2	500	-1	200000	1048576	196116.8857	93.52	284.87	387	310	368	378	385
1	2	500	-1	200000	1048576	183284.4575	87.4	300.26	498	337	392	473	495
1	2	500	-1	200000	1048576	202832.1392	96.72	271.92667	410.33333	304	360.66667	393.66667	408
1	2	500	-1	200000	5000000	129769.0112	61.88	370.54	2593	336	385	2588	2592
1	2	500	-1	200000	5000000	213949.5079	102.02	260.02	357	282	335	345	356
1	2	500	-1	200000	5000000	194969.7797	92.97	282.02	397	315	374	385	395
1	2	500	-1	200000	5000000	179562.7663	85.62333	304.19333	1115.66667	311	364.66667	1106	1114.33333
1	2	500	-1	200000	10000000	187652.4676	89.48	297.66	510	327	421	481	508
1	2	500	-1	200000	10000000	188536.9532	89.9	299.37	400	325	375	393	399
1	2	500	-1	200000	10000000	146799.7651	70	401.15	2453	282	2387	2423	2451
1	2	500	-1	200000	10000000	174329.7287	83.12667	332.72667	1121	311.33333	1061	1099	1119.33333
1	2	500	-1	500000	1048576	175039.3839	83.47	332.63	1384	271	1208	1373	1382
1	2	500	-1	500000	1048576	203293.3523	96.94	274.49	397	302	355	376	389
1	2	500	-1	500000	1048576	186741.3632	89.05	291.69	488	320	406	464	477
1	2	500	-1	500000	1048576	188358.0331	89.82	299.60333	756.33333	297.66667	656.33333	737.66667	749.33333
1	2	500	-1	500000	5000000	96739.8665	46.13	627.81	6809	195	6675	6760	6805
1	2	500	-1	500000	5000000	282565.6965	134.74	175.87	302	207	264	287	293
1	2	500	-1	500000	5000000	232937.3399	111.07	231.88	349	251	310	323	346
1	2	500	-1	500000	5000000	204080.9676	97.31333	345.18667	2486.66667	217.66667	2416.33333	2456.66667	2481.33333
1	2	500	-1	500000	10000000	208203.2063	99.28	263.54	437	282	357	412	431
1	2	500	-1	500000	10000000	126951.8852	60.54	470.61	3577	293	3514	3550	3564
1	2	500	-1	500000	10000000	230574.1296	109.95	230.11	354	253	318	337	351
1	2	500	-1	500000	10000000	188576.4071	89.92333	321.42	1456	276	1396.33333	1433	1448.66667
1	2	1000	-1	16384	1048576	75392.0386	71.9	404.5	2202	287	2144	2194	2201
1	2	1000	-1	16384	1048576	89190.15341	85.06	340.06	1636	265	1592	1613	1615
1	2	1000	-1	16384	1048576	64217.82687	61.24	480.36	3612	244	3532	3590	3610
1	2	1000	-1	16384	1048576	76266.67296	72.73333	408.30667	2483.33333	265.33333	2422.66667	2465.66667	2475.33333
1	2	1000	-1	16384	5000000	128700.1287	122.74	229.66	325	235	301	322	324
1	2	1000	-1	16384	5000000	104036.6209	99.22	287.93	446	287	393	413	443
1	2	1000	-1	16384	5000000	99147.33294	94.55	299.91	404	312	376	388	400
1	2	1000	-1	16384	5000000	110628.0275	105.50333	272.5	391.66667	278	356.66667	374.33333	389
1	2	1000	-1	16384	10000000	89429.44017	85.29	333.22	1169	326	954	1107	1166
1	2	1000	-1	16384	10000000	67340.06734	64.22	457.63	3217	272	3189	3204	3216
1	2	1000	-1	16384	10000000	103562.5518	98.76	293.72	900	265	782	864	899
1	2	1000	-1	16384	10000000	86777.3531	82.75667	361.52333	1762	287.66667	1641.66667	1725	1760.33333
1	2	1000	-1	200000	1048576	100361.3007	95.71	291.25	710	317	547	699	708
1	2	1000	-1	200000	1048576	93527.87131	89.2	317.64	430	332	387	394	403
1	2	1000	-1	200000	1048576	51594.26272	49.2	609.91	4813	231	4697	4796	4810
1	2	1000	-1	200000	1048576	81827.81157	78.03667	406.26667	1984.33333	293.33333	1877	1963	1973.66667
1	2	1000	-1	200000	5000000	129971.4063	123.95	220.05	330	237	287	303	319
1	2	1000	-1	200000	5000000	114652.6026	109.34	254.14	481	273	427	477	480
1	2	1000	-1	200000	5000000	104558.762	99.72	283.16	422	298	355	390	420
1	2	1000	-1	200000	5000000	116394.257	111.00333	252.45	411	269.33333	356.33333	390	406.33333
1	2	1000	-1	200000	10000000	61221.99094	58.39	505.53	4081	284	4021	4050	4079
1	2	1000	-1	200000	10000000	119846.5964	114.29	244.46	347	258	318	324	342
1	2	1000	-1	200000	10000000	114416.476	109.12	243.07	962	206	838	935	957
1	2	1000	-1	200000	10000000	98495.02109	93.93333	331.02	1796.66667	249.33333	1725.66667	1769.66667	1792.66667
1	2	1000	-1	500000	1048576	94304.03621	89.94	312	952	312	795	910	949
1	2	1000	-1	500000	1048576	41071.13521	39.17	769.94	7671	330	7523	7647	7667
1	2	1000	-1	500000	1048576	167504.1876	159.74	170.7	294	173	222	242	252
1	2	1000	-1	500000	1048576	100959.7863	96.28333	417.54667	2972.33333	271.66667	2846.66667	2933	2956
1	2	1000	-1	500000	5000000	132555.6734	126.41	216.48	368	231	306	336	368
1	2	1000	-1	500000	5000000	107688.9942	102.7	271.5	370	277	347	356	364
1	2	1000	-1	500000	5000000	96487.84253	92.02	305.07	754	322	587	733	749
1	2	1000	-1	500000	5000000	112244.17	107.04333	264.35	497.33333	276.66667	413.33333	475	493.66667
1	2	1000	-1	500000	10000000	70432.45528	67.17	434.49	3211	253	3132	3185	3209
1	2	1000	-1	500000	10000000	105887.3359	100.98	272.12	472	287	367	447	452
1	2	1000	-1	500000	10000000	89814.98114	85.65	327.71	915	337	722	861	912
1	2	1000	-1	500000	10000000	88711.59076	84.6	344.77333	1532.66667	292.33333	1407	1497.66667	1524.33333
1	5	100	-1	16384	1048576	86515.66799	8.25	2.43	54323	2	8	23	27
1	5	100	-1	16384	1048576	1354279.523	129.15	1.72	141	1	3	15	24
1	5	100	-1	16384	1048576	1433486.239	136.71	1.97	143	1	3	30	32
1	5	100	-1	16384	1048576	958093.8099	91.37	2.04	18202.33333	1.33333	4.66667	22.66667	27.66667
1	5	100	-1	16384	5000000	1421262.081	135.54	1.36	140	1	2	5	8
1	5	100	-1	16384	5000000	1411631.846	134.62	1.49	138	1	2	14	28
1	5	100	-1	16384	5000000	1445922.499	137.89	7.42	136	1	61	123	132
1	5	100	-1	16384	5000000	1426272.142	136.01667	3.42333	138	1	21.66667	47.33333	56
1	5	100	-1	16384	10000000	1217730.151	116.13	30.13	329	1	198	295	323
1	5	100	-1	16384	10000000	1254705.144	119.66	25.62	371	1	274	351	368
1	5	100	-1	16384	10000000	1303441.084	124.31	26.68	293	1	243	278	291
1	5	100	-1	16384	10000000	1258625.46	120.03333	27.47667	331	1	238.33333	308	327.33333
1	5	100	-1	200000	1048576	1206272.618	115.04	21.68	351	1	201	335	349
1	5	100	-1	200000	1048576	1393922.498	132.93	3.13	134	1	15	20	48
1	5	100	-1	200000	1048576	1452221.9	138.49	2.01	135	1	9	13	21
1	5	100	-1	200000	1048576	1350805.672	128.82	8.94	206.66667	1	75	122.66667	139.33333
1	5	100	-1	200000	5000000	1457301.078	138.98	1.41	140	1	3	9	24
1	5	100	-1	200000	5000000	1218323.587	116.19	24.57	589	1	288	499	583
1	5	100	-1	200000	5000000	1403705.783	133.87	1.31	137	1	2	9	13
1	5	100	-1	200000	5000000	1359776.816	129.68	9.09667	288.66667	1	97.66667	172.33333	206.66667
1	5	100	-1	200000	10000000	1156604.21	110.3	39.74	696	1	599	679	692
1	5	100	-1	200000	10000000	1428979.708	136.28	2.07	134	1	10	14	19
1	5	100	-1	200000	10000000	1339405.304	127.74	6.21	141	1	36	55	70
1	5	100	-1	200000	10000000	1308329.741	124.77333	16.00667	323.66667	1	215	249.33333	260.33333
1	5	100	-1	500000	1048576	808146.1128	77.07	100.1	914	75	746	886	909
1	5	100	-1	500000	1048576	494022.3298	47.11	370.79	5528	37	5417	5487	5517
1	5	100	-1	500000	1048576	1175640.724	112.12	25.42	232	1	173	211	228
1	5	100	-1	500000	1048576	825936.3889	78.76667	165.43667	2224.66667	37.66667	2112	2194.66667	2218
1	5	100	-1	500000	5000000	798084.597	76.11	144.78	513	145	369	485	502
1	5	100	-1	500000	5000000	572737.6861	54.62	360.86	1166	327	942	1076	1156
1	5	100	-1	500000	5000000	838785.4387	79.99	175.08	391	151	351	377	387
1	5	100	-1	500000	5000000	736535.9073	70.24	226.90667	690	207.66667	554	646	681.66667
1	5	100	-1	500000	10000000	792393.0269	75.57	215.11	570	264	396	528	560
1	5	100	-1	500000	10000000	744158.3569	70.97	237.24	498	244	422	474	493
1	5	100	-1	500000	10000000	575175.4285	54.85	347.58	2366	229	1436	2052	2202
1	5	100	-1	500000	10000000	703908.9375	67.13	266.64333	1144.66667	245.66667	751.33333	1018	1085
1	5	500	-1	16384	1048576	200843.5429	95.77	284.45	403	316	374	388	399
1	5	500	-1	16384	1048576	180375.1804	86.01	325.71	435	347	407	422	432
1	5	500	-1	16384	1048576	131044.4241	62.49	459.71	3015	300	2916	2989	3010
1	5	500	-1	16384	1048576	170754.3824	81.42333	356.62333	1284.33333	321	1232.33333	1266.33333	1280.33333
1	5	500	-1	16384	5000000	192086.0546	91.59	293.33	464	326	393	443	459
1	5	500	-1	16384	5000000	172592.3369	82.3	336.79	442	367	415	429	441
1	5	500	-1	16384	5000000	166002.656	79.16	352.31	911	367	678	884	910
1	5	500	-1	16384	5000000	176893.6825	84.35	327.47667	605.66667	353.33333	495.33333	585.33333	603.33333
1	5	500	-1	16384	10000000	163132.137	77.79	357.34	459	390	425	440	453
1	5	500	-1	16384	10000000	163025.7581	77.74	360.01	627	396	505	604	624
1	5	500	-1	16384	10000000	160668.3805	76.61	365.94	1056	396	897	1023	1054
1	5	500	-1	16384	10000000	162275.4252	77.38	361.09667	714	394	609	689	710.33333
1	5	500	-1	200000	1048576	126486.213	60.31	471.96	3216	299	3111	3196	3208
1	5	500	-1	200000	1048576	189178.9633	90.21	298.31	798	309	605	749	796
1	5	500	-1	200000	1048576	176242.5097	84.04	324.9	453	349	402	422	448
1	5	500	-1	200000	1048576	163969.2287	78.18667	365.05667	1489	319	1372.66667	1455.66667	1484
1	5	500	-1	200000	5000000	168463.6119	80.33	342.16	604	365	546	580	601
1	5	500	-1	200000	5000000	170386.778	81.25	334.57	476	354	413	442	471
1	5	500	-1	200000	5000000	119860.9613	57.15	502.67	2442	362	2272	2340	2385
1	5	500	-1	200000	5000000	152903.7837	72.91	393.13333	1174	360.33333	1077	1120.66667	1152.33333
1	5	500	-1	200000	10000000	202798.621	96.7	276.98	847	299	702	801	814
1	5	500	-1	200000	10000000	182515.0575	87.03	308.04	497	325	401	452	495
1	5	500	-1	200000	10000000	154320.9877	73.59	373.71	1633	323	1241	1572	1625
1	5	500	-1	200000	10000000	179878.222	85.77333	319.57667	992.33333	315.66667	781.33333	941.66667	978
1	5	500	-1	500000	1048576	183654.7291	87.57	299.4	441	318	395	416	429
1	5	500	-1	500000	1048576	176584.849	84.2	327.34	941	325	680	900	924
1	5	500	-1	500000	1048576	169692.8559	80.92	333.29	455	347	400	413	439
1	5	500	-1	500000	1048576	176644.1447	84.23	320.01	612.33333	330	491.66667	576.33333	597.33333
1	5	500	-1	500000	5000000	165289.2562	78.82	348.26	618	344	479	569	616
1	5	500	-1	500000	5000000	164311.5347	78.35	346.59	705	361	525	677	700
1	5	500	-1	500000	5000000	66666.66667	31.79	921.74	9371	147	9233	9357	9365
1	5	500	-1	500000	5000000	132089.1525	62.98667	538.86333	3564.66667	284	3412.33333	3534.33333	3560.33333
1	5	500	-1	500000	10000000	378931.4134	180.69	132.53	282	127	227	276	279
1	5	500	-1	500000	10000000	306184.9357	146	168.05	673	130	630	652	658
