Replication Factor	Partition	Message Size	Acks	Batch Size	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	100	-1	200000	200000000	1322401.481	126.11	58.3	619	1	492	589	617
1	2	100	-1	200000	200000000	1323801.959	126.25	1.36	135	1	2	14	49
1	2	100	-1	200000	200000000	1040582.726	99.24	243.74	1379	1	1137	1341	1377
1	2	100	-1	200000	200000000	1228928.722	117.2	101.13333	711	1	543.66667	648	681
1	2	100	-1	500000	33554432	1475361.464	140.7	1.12	137	1	2	12	14
1	2	100	-1	500000	33554432	1279426.817	122.02	0.89	133	1	2	5	13
1	2	100	-1	500000	33554432	1161170.46	110.74	31.6	670	1	477	635	668
1	2	100	-1	500000	33554432	1305319.58	124.48667	11.20333	313.33333	1	160.33333	217.33333	231.66667
1	2	100	-1	500000	100000000	1404099.972	133.91	0.92	138	1	2	4	20
1	2	100	-1	500000	100000000	1204238.921	114.85	32.24	373	1	244	344	371
1	2	100	-1	500000	100000000	774953.5028	73.91	221.8	1280	16	1090	1261	1276
1	2	100	-1	500000	100000000	1127764.132	107.55667	84.98667	597	6	445.33333	536.33333	555.66667
1	2	100	-1	500000	200000000	502815.7683	47.95	1384.63	3207	1314	2960	3164	3202
1	2	100	-1	500000	200000000	570841.4203	54.44	750.44	1729	742	1621	1708	1726
1	2	100	-1	500000	200000000	598515.6811	57.08	670.92	2202	583	1450	2151	2198
1	2	100	-1	500000	200000000	557390.9566	53.15667	935.33	2379.33333	879.66667	2010.33333	2341	2375.33333
1	2	500	-1	16384	33554432	150625.0941	71.82	392.73	1180	406	979	1151	1179
1	2	500	-1	16384	33554432	149745.4328	71.4	396.97	517	417	499	510	515
1	2	500	-1	16384	33554432	152091.2548	72.52	388.95	1376	402	1166	1323	1374
1	2	500	-1	16384	33554432	150820.5939	71.91333	392.88333	1024.33333	408.33333	881.33333	994.66667	1022.66667
1	2	500	-1	16384	100000000	141203.05	67.33	1150.6	1609	1257	1489	1593	1606
1	2	500	-1	16384	100000000	132013.2013	62.95	1254.91	2209	1271	2168	2194	2208
1	2	500	-1	16384	100000000	162469.537	77.47	976.92	1451	1138	1337	1438	1448
1	2	500	-1	16384	100000000	145228.5961	69.25	1127.47667	1756.33333	1222	1664.66667	1741.66667	1754
1	2	500	-1	16384	200000000	154990.7006	73.91	1686.45	2661	1990	2599	2632	2658
1	2	500	-1	16384	200000000	148257.9689	70.69	1799.42	2882	2311	2846	2874	2882
1	2	500	-1	16384	200000000	82665.12358	39.42	3410.5	7636	2680	7469	7610	7631
1	2	500	-1	16384	200000000	128637.931	61.34	2298.79	4393	2327	4304.66667	4372	4390.33333
1	2	500	-1	200000	33554432	258464.7196	123.25	202.27	600	219	487	562	598
1	2	500	-1	200000	33554432	160025.6041	76.31	361.74	2222	273	2174	2208	2220
1	2	500	-1	200000	33554432	192196.8095	91.65	291.73	394	312	372	384	392
1	2	500	-1	200000	33554432	203562.3777	97.07	285.24667	1072	268	1011	1051.33333	1070
1	2	500	-1	200000	100000000	96833.54314	46.17	1034.94	5225	1119	1836	5199	5225
1	2	500	-1	200000	100000000	226757.3696	108.13	648.51	1017	779	972	989	1015
1	2	500	-1	200000	100000000	193236.715	92.14	748.11	1210	965	1160	1185	1208
1	2	500	-1	200000	100000000	172275.8759	82.14667	810.52	2484	954.33333	1322.66667	2457.66667	2482.66667
1	2	500	-1	200000	200000000	161056.5308	76.8	1576.56	2552	1855	2489	2520	2551
1	2	500	-1	200000	200000000	154273.3724	73.56	1655.53	2766	1935	2664	2735	2742
1	2	500	-1	200000	200000000	97475.38746	46.48	3435.5	7392	1492	7335	7376	7386
1	2	500	-1	200000	200000000	137601.7636	65.61333	2222.53	4236.66667	1760.66667	4162.66667	4210.33333	4226.33333
1	2	500	-1	500000	33554432	207168.0133	98.79	258.23	693	290	543	641	672
1	2	500	-1	500000	33554432	173460.5377	82.71	331.63	473	345	423	450	465
1	2	500	-1	500000	33554432	141023.833	67.25	416.65	1199	391	813	1126	1197
1	2	500	-1	500000	33554432	173884.128	82.91667	335.50333	788.33333	342	593	739	778
1	2	500	-1	500000	100000000	150195.2538	71.62	1042.98	1777	1170	1560	1739	1761
1	2	500	-1	500000	100000000	144654.9978	68.98	1087.01	1593	1286	1501	1554	1591
1	2	500	-1	500000	100000000	128518.1853	61.28	1288.47	2991	1084	2921	2940	2985
1	2	500	-1	500000	100000000	141122.8123	67.29333	1139.48667	2120.33333	1180	1994	2077.66667	2112.33333
1	2	500	-1	500000	200000000	150262.9602	71.65	1711.81	2812	2012	2717	2756	2791
1	2	500	-1	500000	200000000	74046.64939	35.31	4795.08	8821	3022	8717	8791	8819
1	2	500	-1	500000	200000000	256805.3416	122.45	706.93	1804	577	1751	1783	1797
1	2	500	-1	500000	200000000	160371.6504	76.47	2404.60667	4479	1870.33333	4395	4443.33333	4469
1	2	1000	-1	16384	33554432	98775.18767	94.2	299.48	465	304	402	437	460
1	2	1000	-1	16384	33554432	74727.24555	71.27	404.74	1650	356	1520	1646	1649
1	2	1000	-1	16384	33554432	58955.31187	56.22	528.59	3242	367	3121	3230	3242
1	2	1000	-1	16384	33554432	77485.91503	73.89667	410.93667	1785.66667	342.33333	1681	1771	1783.66667
1	2	1000	-1	16384	100000000	93318.40239	89	876.23	1331	957	1289	1323	1330
1	2	1000	-1	16384	100000000	76034.06326	72.51	1002.67	1827	1163	1354	1795	1824
1	2	1000	-1	16384	100000000	79365.07937	75.69	1021.94	1343	1102	1320	1333	1340
1	2	1000	-1	16384	100000000	82905.84834	79.06667	966.94667	1500.33333	1074	1321	1483.66667	1498
1	2	1000	-1	16384	200000000	64977.25796	61.97	2094.14	3776	2419	3751	3764	3773
1	2	1000	-1	16384	200000000	54030.68943	51.53	3079.39	6340	1609	6216	6331	6339
1	2	1000	-1	16384	200000000	100969.3053	96.29	1350.81	2159	1398	2111	2145	2158
1	2	1000	-1	16384	200000000	73325.75091	69.93	2174.78	4091.66667	1808.66667	4026	4080	4090
