File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
	7	Validation data	100	0.01	0.932900976	100	0.1	0.8151435328	100	1	0.8058484656	100	0.01	0.7438180217
		Test data	100	0.01	0.9229499063	100	0.1	0.8329551774	100	1	0.8226408386	100	0.01	0.7739317135
		Cross Validation	100	0.01	0.9290203012	100	0.1	0.8350525153	100	1	0.8240707018	100	0.01	0.7798297657
	10	Validation data	100	0.01	0.9041592569	100	0.1	0.7639206131	100	0.01	0.7909342342	100	0.01	0.6675576444
		Test data	100	0.01	0.90231129	100	0.1	0.7704639479	100	0.01	0.7979102578	100	0.01	0.6991862725
		Cross Validation	100	0.01	0.9200997439	100	0.1	0.7712645974	100	0.01	0.8213315632	100	0.01	0.7150297234
Buffer Memory + Linger Ms	2	Validation data	100	0.01	0.9893744335	100	0.1	0.9469542393	100	0.01	0.9558086272	100	0.01	0.9614807998
		Test data	100	0.01	0.9777862724	100	0.1	0.9590893675	100	0.01	0.9556656377	100	0.01	0.9695418878
		Cross Validation	100	0.01	0.9855964661	100	0.1	0.9578185578	100	0.01	0.9646802087	100	0.01	0.9609025118
	3	Validation data	100	0.01	0.9789103159	100	0.1	0.9296189577	100	0.01	0.9419894937	100	0.01	0.9093324441
		Test data	100	0.01	0.9794532651	100	0.1	0.9037406268	100	0.01	0.9295392037	100	0.01	0.9249045249
		Cross Validation	100	0.01	0.9873099697	100	0.1	0.9228394699	100	0.01	0.9437598393	100	0.01	0.9231819357
	5	Validation data	100	0.01	0.9491427993	100	0.1	0.8764861626	100	0.01	0.9234161914	100	0.01	0.8648607792
		Test data	100	0.01	0.9490511269	100	0.1	0.8752781164	100	0.01	0.9042012168	100	0.01	0.8832522179
		Cross Validation	100	0.01	0.9495882187	100	0.1	0.8748272986	100	0.01	0.9002003102	100	0.01	0.867626119
	7	Validation data	100	0.01	0.9362300083	100	0.1	0.7967751806	100	0.01	0.8488957321	100	0.01	0.8004765858
		Test data	100	0.01	0.9454994185	100	0.1	0.8259696736	100	0.01	0.8591550476	100	0.01	0.8263439344
		Cross Validation	100	0.01	0.9427300923	100	0.1	0.8220258935	100	0.01	0.8693384478	100	0.01	0.8223560234
	10	Validation data	100	0.01	0.9013098051	100	0.1	0.7436189017	100	0.01	0.7962702648	100	0.01	0.7634827235
		Test data	100	0.01	0.8983885295	100	0.1	0.7463688498	100	0.01	0.8351965897	100	0.01	0.6915749398
		Cross Validation	100	0.01	0.918728706	100	0.1	0.7592477502	100	0.01	0.8127564088	100	0.01	0.7362849221
Linger Ms + Max Request Size	2	Validation data	100	0.01	0.987272886	100	0.01	0.9344963874	100	1	0.9614864339	100	0.01	0.9537012826
		Test data	100	0.01	0.981176545	100	0.01	0.9529263853	100	1	0.9573134236	100	0.01	0.9581698126
		Cross Validation	100	0.01	0.9862831598	100	0.01	0.9447942856	100	1	0.9581668977	100	0.01	0.9550741324
	3	Validation data	100	0.01	0.9815018357	100	0.1	0.9295556728	100	0.01	0.9512492419	100	1	0.8654888845
		Test data	100	0.01	0.9828695812	100	0.1	0.8956410609	100	0.01	0.9398960204	100	1	0.8576827711
		Cross Validation	100	0.01	0.9845673066	100	0.1	0.9320966188	100	0.01	0.9526751098	100	1	0.8600859983
	5	Validation data	100	0.01	0.957919245	100	0.1	0.8735380117	100	1	0.8922126852	100	0.01	0.8405832412
		Test data	100	0.01	0.9383308822	100	0.1	0.8814914263	100	1	0.9060918952	100	0.01	0.8493035194
		Cross Validation	100	0.01	0.9554189478	100	0.1	0.8762006861	100	1	0.9019255622	100	0.01	0.852524143
	7	Validation data	100	0.01	0.9242630881	100	0.1	0.844483628	100	1	0.8570387235	100	0.01	0.7560351219
		Test data	100	0.01	0.9297452986	100	0.1	0.8230133288	100	1	0.8698707578	100	0.01	0.7778456407
		Cross Validation	100	0.01	0.9444424211	100	0.1	0.8281926267	100	1	0.8587079114	100	0.01	0.7733199793
	10	Validation data	100	0.01	0.9109506084	100	0.1	0.7616054978	100	1	0.7733556259	100	0.01	0.6887639434
		Test data	100	0.01	0.9265993978	100	0.1	0.7447823981	100	1	0.7497305397	100	0.01	0.6283269804
		Cross Validation	100	0.01	0.9132351559	100	0.1	0.7534311192	100	1	0.7832661717	100	0.01	0.6738698043
