File	Buckets	Test Type	C	Records/sec	C	MB/sec	C	Avg latency	C	Max latency		
		Test data	100	0.986328354	10	0.7644762991	100	0.9206097337	100	0.9213078645		
		Cross Validation	100	0.9914260203	10	0.7812043281	100	0.9207817383	100	0.9118629432		
	5	Validation data	100	0.8250454885	100	0.6637696298	100	0.7829783508	100	0.7659067797		
		Test data	100	0.8479587003	100	0.6566824723	100	0.7781838512	100	0.6980514401		
		Cross Validation	100	0.7997209756	100	0.6388913038	100	0.8110405555	100	0.7404003853		
	7	Validation data	100	0.6836386229	100	0.5178673106	10	0.7003214628	100	0.6140550681		
		Test data	100	0.7687960064	100	0.5507370008	10	0.6734700197	100	0.5761812005		
		Cross Validation	100	0.7397054677	100	0.552135271	10	0.692051035	100	0.6100942221		
	10	Validation data	100	0.6571904461	100	0.3902803274	100	0.5678255902	100	0.4370787983		
		Test data	100	0.6266395214	100	0.4013424552	100	0.5638410723	100	0.4385257088		
		Cross Validation	100	0.6423306469	100	0.4403251956	100	0.5798955568	100	0.479073169		
