File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
	5	Validation data	100	0.01	0.9400428266	100	0.01	0.8458244111	100	0.01	0.9057815846	100	0.01	0.8329764454
		Test data	100	0.01	0.9554794521	100	0.01	0.8544520548	100	0.01	0.9075342466	100	0.01	0.8561643836
		Cross Validation	100	0.01	0.9578173829	100	0.01	0.8624903076	100	0.01	0.8971198806	100	0.01	0.8593951926
	7	Validation data	100	0.01	0.9100642398	100	0.1	0.7858672377	100	1	0.7987152034	100	0.01	0.7708779443
		Test data	100	0.01	0.9280821918	100	0.1	0.8287671233	100	1	0.7808219178	100	0.01	0.7979452055
		Cross Validation	100	0.01	0.9286637374	100	0.1	0.8309311779	100	1	0.8192773561	100	0.01	0.7860158838
	10	Validation data	100	0.01	0.8993576017	100	0.1	0.7194860814	100	0.01	0.8158458244	100	0.01	0.6680942184
		Test data	100	0.01	0.9332191781	100	0.1	0.7380136986	100	0.01	0.8047945205	100	0.01	0.6900684932
		Cross Validation	100	0.01	0.9231801734	100	0.1	0.7678270166	100	0.01	0.8151607181	100	0.01	0.713652224
Buffer Memory + Linger Ms	2	Validation data	100	0.01	0.9892933619	100	0.1	0.965738758	100	0.01	0.9571734475	100	0.01	0.9507494647
		Test data	100	0.01	0.9828767123	100	0.1	0.9623287671	100	0.01	0.9589041096	100	0.01	0.9434931507
		Cross Validation	100	0.01	0.9838823751	100	0.1	0.9605659203	100	0.01	0.9643348058	100	0.01	0.9585081886
	3	Validation data	100	0.01	0.9935760171	100	0.1	0.9207708779	100	0.01	0.9314775161	100	0.01	0.9186295503
		Test data	100	0.01	0.9914383562	100	0.1	0.9229452055	100	0.01	0.9503424658	100	0.01	0.8955479452
		Cross Validation	100	0.01	0.9842266031	100	0.1	0.9149504218	100	0.01	0.9482189431	100	0.01	0.925237905
	5	Validation data	100	0.01	0.9357601713	100	0.1	0.8479657388	100	0.01	0.8886509636	100	0.01	0.8436830835
		Test data	100	0.01	0.9383561644	100	0.1	0.8835616438	100	0.01	0.8989726027	100	0.01	0.8784246575
		Cross Validation	100	0.01	0.9471938955	100	0.1	0.8741423671	100	0.01	0.905351982	100	0.01	0.8707171221
	7	Validation data	100	0.01	0.9122055675	100	0.1	0.8158458244	100	0.01	0.8672376874	100	0.01	0.8244111349
		Test data	100	0.01	0.9280821918	100	0.1	0.7876712329	100	0.01	875	100	0.01	0.8544520548
		Cross Validation	100	0.01	0.9458152212	100	0.1	0.8257936042	100	0.01	0.8720905096	100	0.01	0.8230456543
	10	Validation data	100	0.01	0.8929336188	100	0.1	0.7323340471	100	0.01	0.8329764454	100	0.01	0.7173447537
		Test data	100	0.01	0.9075342466	100	0.1	0.7345890411	100	0.01	0.7756849315	100	0.01	0.6934931507
		Cross Validation	100	0.01	0.9146126554	100	0.1	0.758567518	100	0.01	0.8127517094	100	0.01	0.7359412815
Linger Ms + Max Request Size	2	Validation data	100	0.01	0.982869379	100	0.01	0.9122055675	100	1	0.9721627409	100	0.01	0.948608137
		Test data	100	0.01	0.9931506849	100	0.01	0.9383561644	100	1	0.9623287671	100	0.01	0.9520547945
		Cross Validation	100	0.01	0.9890264104	100	0.01	0.9454733429	100	1	0.959875702	100	0.01	0.9530216875
	3	Validation data	100	0.01	0.9850107066	100	0.1	0.948608137	100	0.01	0.9357601713	100	1	0.8458244111
		Test data	100	0.01	0.9691780822	100	0.1	0.9178082192	100	0.01	0.9383561644	100	1	0.8441780822
		Cross Validation	100	0.01	0.9825101624	100	0.1	0.9293504312	100	0.01	0.950959844	100	1	0.8573398106
	5	Validation data	100	0.01	0.9443254818	100	0.1	0.8458244111	100	1	0.903640257	100	0.01	0.835117773
		Test data	100	0.01	0.9554794521	100	0.1	0.8818493151	100	1	0.8921232877	100	0.01	0.8390410959
		Cross Validation	100	0.01	0.952673935	100	0.1	0.8875214408	100	1	0.9005504124	100	0.01	0.8443043775
	7	Validation data	100	0.01	0.9314775161	100	0.1	0.8115631692	100	1	0.8800856531	100	0.01	0.7087794433
		Test data	100	0.01	0.9400684932	100	0.1	0.8184931507	100	1	0.8578767123	100	0.01	0.7585616438
		Cross Validation	100	0.01	0.9485608214	100	0.1	0.8309317653	100	1	0.854593623	100	0.01	0.7808653869
	10	Validation data	100	0.01	0.9100642398	100	0.1	0.7301927195	100	1	0.7494646681	100	0.01	0.6573875803
		Test data	100	0.01	0.9058219178	100	0.1	0.7363013699	100	1	0.779109589	100	0.01	0.654109589
		Cross Validation	100	0.01	0.911179774	100	0.1	0.7486330741	100	1	0.7866914166	100	0.01	0.6652923001
