File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Buffer Memory + Linger Ms	2	Validation data	100	0.01	0.9807280514	100	0.1	0.9357601713	100	0.01	0.948608137	100	0.01	0.9528907923
		Test data	100	0.01	0.9828767123	100	0.1	0.9554794521	100	0.01	0.970890411	100	0.01	0.9657534247
		Cross Validation	100	0.01	0.9869680914	100	0.1	0.9581621984	100	0.01	0.962622477	100	0.01	0.959875702
	3	Validation data	100	0.01	0.982869379	100	0.1	0.9164882227	100	0.01	0.9528907923	100	0.01	0.9357601713
		Test data	100	0.01	0.9811643836	100	0.1	0.9075342466	100	0.01	0.9417808219	100	0.01	0.9160958904
		Cross Validation	100	0.01	0.9852569374	100	0.1	0.9242099203	100	0.01	0.9447884114	100	0.01	0.9255885947
	5	Validation data	100	0.01	0.9464668094	100	0.1	0.852248394	100	0.01	0.9057815846	100	0.01	0.8565310493
		Test data	100	0.01	0.9315068493	100	0.1	0.8732876712	100	0.01	0.8904109589	100	0.01	0.8664383562
		Cross Validation	100	0.01	0.9465013276	100	0.1	0.8734574356	100	0.01	0.9036331916	100	0.01	0.8703693696
	7	Validation data	100	0.01	0.9400428266	100	0.1	0.8158458244	100	0.01	0.8586723769	100	0.01	0.8094218415
		Test data	100	0.01	0.9366438356	100	0.1	0.8065068493	100	0.01	0.8441780822	100	0.01	0.8219178082
		Cross Validation	100	0.01	0.9495882187	100	0.1	0.8148123781	100	0.01	0.8748237741	100	0.01	0.8223601353
	10	Validation data	100	0.01	0.9293361884	100	0.1	0.7301927195	100	0.01	0.7687366167	100	0.01	0.7323340471
		Test data	100	0.01	0.8955479452	100	0.1	0.720890411	100	0.01	0.7928082192	100	0.01	0.7106164384
		Cross Validation	100	0.01	0.9135829084	100	0.1	0.7561731949	100	0.01	0.8168712846	100	0.01	0.7307919594
Linger Ms + Max Request Size	2	Validation data	100	0.01	0.9892933619	100	0.01	0.9421841542	100	1	0.965738758	100	0.01	0.9443254818
		Test data	100	0.01	0.9897260274	100	0.01	0.9537671233	100	1	0.9571917808	100	0.01	0.9571917808
		Cross Validation	100	0.01	0.9879978383	100	0.01	0.9447854743	100	1	0.9609030992	100	0.01	0.9543874386
	3	Validation data	100	0.01	0.982869379	100	0.1	0.9207708779	100	0.01	0.948608137	100	1	0.8436830835
		Test data	100	0.01	0.9828767123	100	0.1	0.9297945205	100	0.01	0.9520547945	100	1	0.8390410959
		Cross Validation	100	0.01	0.9811408868	100	0.1	0.9320966188	100	0.01	0.9492404662	100	1	0.8580176931
	5	Validation data	100	0.01	0.9379014989	100	0.1	0.8672376874	100	1	0.8758029979	100	0.01	0.8137044968
		Test data	100	0.01	0.9503424658	100	0.1	0.8904109589	100	1	0.9092465753	100	0.01	0.8184931507
		Cross Validation	100	0.01	0.9561015296	100	0.1	0.8765396273	100	1	0.902263916	100	0.01	0.8504769849
	7	Validation data	100	0.01	0.9336188437	100	0.1	0.817987152	100	1	0.8736616702	100	0.01	0.7623126338
		Test data	100	0.01	0.9400684932	100	0.1	0.8065068493	100	1	0.8441780822	100	0.01	0.779109589
		Cross Validation	100	0.01	0.9465025024	100	0.1	0.827512982	100	1	0.8621378557	100	0.01	0.7729739891
	10	Validation data	100	0.01	0.9014989293	100	0.1	0.7344753747	100	1	0.7473233405	100	0.01	0.6231263383
		Test data	100	0.01	0.9023972603	100	0.1	0.7260273973	100	1	0.8030821918	100	0.01	0.6506849315
		Cross Validation	100	0.01	0.9152952372	100	0.1	0.7613172302	100	1	0.7760685166	100	0.01	0.6670105031
