file	Buckets	Test Type	Neighbors-Records	Records/sec	Neighbors-MB	MB/sec	Neighbors-Avg	Avg latency	Neighbors-Max	Max latency		
Buffer Memory + Linger Ms	10	Validation data	1	0.7837259101	1	0.8779443255	1	0.7580299786	1	0.5867237687		
Buffer Memory + Linger Ms		Test data	1	0.7517123288	1	0.8955479452	1	0.7482876712	1	0.6421232877		
Buffer Memory + Linger Ms		Cross Validation	1	0.7709180197	1	0.8960913085	1	0.7647471745	1	0.6409455109		
Linger Ms + Max Request Size	2	Validation data	5	0.9250535332	1	0.9100642398	1	0.9186295503	1	0.8158458244		
Linger Ms + Max Request Size		Test data	5	0.9246575342	1	0.9126712329	1	0.8921232877	1	0.8321917808		
Linger Ms + Max Request Size		Cross Validation	5	0.9365521981	1	0.9259298856	1	0.9036384783	1	0.8528830565		
Linger Ms + Max Request Size	3	Validation data	1	0.869379015	1	0.8886509636	1	0.8501070664	1	0.7173447537		
Linger Ms + Max Request Size		Test data	1	0.9075342466	1	0.8938356164	1	0.8561643836	1	0.720890411		
Linger Ms + Max Request Size		Cross Validation	1	0.9053443455	1	0.8967903381	1	0.8628257243	1	0.75239961		
Linger Ms + Max Request Size	5	Validation data	3	0.8029978587	1	0.8586723769	1	0.7901498929	1	0.5631691649		
Linger Ms + Max Request Size		Test data	3	0.7962328767	1	0.8595890411	1	0.7756849315	1	0.6232876712		
Linger Ms + Max Request Size		Cross Validation	3	0.8295554407	1	0.8720887474	1	0.8024759745	1	0.591908292		
Linger Ms + Max Request Size	7	Validation data	3	0.8051391863	1	0.8415417559	1	0.7665952891	1	0.52248394		
Linger Ms + Max Request Size		Test data	3	0.7945205479	1	0.8647260274	1	0.7431506849	1	0.5428082192		
Linger Ms + Max Request Size		Cross Validation	3	0.8034898611	1	0.8665963721	1	0.7644035339	1	0.5349749759		
Linger Ms + Max Request Size	10	Validation data	1	0.7366167024	1	0.8394004283	1	0.7473233405	1	0.4389721627		
Linger Ms + Max Request Size		Test data	1	0.7380136986	1	0.8373287671	1	0.6917808219	1	0.4178082192		
Linger Ms + Max Request Size		Cross Validation	1	0.7290790432	1	0.8432834418	1	0.7204980145	1	0.4386181536		
